threshold	alignment_size	SNPs
90	9250	168484
90	9000	166835
90	8750	165028
90	8500	163471
90	8250	161768
90	8000	159705
90	7750	157391
90	7500	155398
90	7250	153867
90	7000	151740
90	6750	149902
90	6500	146552
90	6250	144309
90	6000	142276
90	5750	139566
90	5500	136979
90	5250	134072
90	5000	131979
90	4750	129238
90	4500	127412
90	4250	124692
90	4000	121675
90	3750	118909
90	3500	114192
90	3250	112155
90	3000	109335
90	2750	106281
90	2500	102364
90	2250	99949
90	2000	96424
90	1750	91576
90	1500	85959
90	1250	80339
90	1000	74926
90	750	67768
90	500	59284
90	250	45196
90	100	31987
90	75	29404
90	50	25896
90	25	21853
90	10000	173455
90	9750	171852
90	9500	170622
90	9250	168618
90	9000	166985
90	8750	164759
90	8500	162273
90	8250	160676
90	8000	158925
90	7750	157160
90	7500	155854
90	7250	154134
90	7000	151523
90	6750	149315
90	6500	147437
90	6250	145898
90	6000	143755
90	5750	141832
90	5500	138928
90	5250	136535
90	5000	134753
90	4750	131099
90	4500	128211
90	4250	126029
90	4000	123857
90	3750	121050
90	3500	119031
90	3250	115768
90	3000	112745
90	2750	108972
90	2500	103096
90	2250	98044
90	2000	94445
90	1750	89785
90	1500	84378
90	1250	78399
90	1000	72144
90	750	66149
90	500	55235
90	250	42786
90	100	34238
90	75	30540
90	50	26267
90	25	23000
100	10000	19905
100	9750	20145
100	9500	20526
100	9250	20942
100	9000	20939
100	8750	21354
100	8500	21756
100	8250	22290
100	8000	22553
100	7750	22855
100	7500	23264
100	7250	23531
100	7000	24212
100	6750	24544
100	6500	25130
100	6250	25386
100	6000	25774
100	5750	26219
100	5500	26768
100	5250	27004
100	5000	27394
100	4750	28179
100	4500	28994
100	4250	29226
100	4000	29662
100	3750	30319
100	3500	30244
100	3250	30082
100	3000	30989
100	2750	30580
100	2500	30925
100	2250	31569
100	2000	31148
100	1750	30466
100	1500	30312
100	1250	30036
100	1000	30381
100	750	32164
100	500	30672
100	250	29200
100	100	24531
100	75	23406
100	50	21352
100	25	18404
100	10000	19795
100	9750	20028
100	9500	20194
100	9250	20564
100	9000	20820
100	8750	21264
100	8500	21536
100	8250	21657
100	8000	22156
100	7750	22512
100	7500	22835
100	7250	23073
100	7000	23395
100	6750	23956
100	6500	24172
100	6250	24423
100	6000	24749
100	5750	24947
100	5500	25250
100	5250	25622
100	5000	25827
100	4750	26477
100	4500	26582
100	4250	27628
100	4000	28401
100	3750	28254
100	3500	28870
100	3250	29479
100	3000	29443
100	2750	30237
100	2500	30601
100	2250	30537
100	2000	31353
100	1750	31819
100	1500	31273
100	1250	33285
100	1000	33683
100	750	33245
100	500	33712
100	250	29784
100	100	27013
100	75	25555
100	50	22675
100	25	17350
100	10000	19975
100	9750	20225
100	9500	20621
100	9250	20833
100	9000	21238
100	8750	21247
100	8500	21563
100	8250	21787
100	8000	22150
100	7750	22376
100	7500	22754
100	7250	23161
100	7000	23317
100	6750	23614
100	6500	24529
100	6250	24746
100	6000	24943
100	5750	25090
100	5500	25702
100	5250	26005
100	5000	26667
100	4750	26762
100	4500	27369
100	4250	27410
100	4000	27734
100	3750	28341
100	3500	28313
100	3250	29126
100	3000	29676
100	2750	30028
100	2500	30262
100	2250	30751
100	2000	30605
100	1750	30868
100	1500	31192
100	1250	32173
100	1000	31135
100	750	28991
100	500	29350
100	250	27985
100	100	24291
100	75	22621
100	50	20508
100	25	18803
100	10000	20109
100	9750	20384
100	9500	20859
100	9250	21171
100	9000	21413
100	8750	21769
100	8500	22110
100	8250	22176
100	8000	22439
100	7750	22908
100	7500	23147
100	7250	23705
100	7000	24441
100	6750	25197
100	6500	25780
100	6250	26518
100	6000	26549
100	5750	27020
100	5500	27513
100	5250	28146
100	5000	28600
100	4750	29019
100	4500	29272
100	4250	29957
100	4000	30407
100	3750	30531
100	3500	30990
100	3250	31754
100	3000	32316
100	2750	32667
100	2500	32695
100	2250	32648
100	2000	32555
100	1750	33287
100	1500	33759
100	1250	33644
100	1000	32021
100	750	33150
100	500	31562
100	250	28080
100	100	25832
100	75	22951
100	50	20913
100	25	17875
100	10000	19956
100	9750	20147
100	9500	20631
100	9250	20962
100	9000	21190
100	8750	21636
100	8500	21752
100	8250	21966
100	8000	22236
100	7750	22435
100	7500	22845
100	7250	23597
100	7000	23947
100	6750	24338
100	6500	24752
100	6250	25023
100	6000	25380
100	5750	25802
100	5500	26165
100	5250	26645
100	5000	27343
100	4750	27654
100	4500	28105
100	4250	28270
100	4000	28348
100	3750	29352
100	3500	29658
100	3250	30308
100	3000	30634
100	2750	30340
100	2500	31126
100	2250	31206
100	2000	31494
100	1750	32103
100	1500	31595
100	1250	31352
100	1000	30940
100	750	31020
100	500	33063
100	250	29302
100	100	25089
100	75	22297
100	50	20596
100	25	18564
100	10000	19957
100	9750	20193
100	9500	20468
100	9250	20861
100	9000	21094
100	8750	21364
100	8500	21780
100	8250	21813
100	8000	22210
100	7750	22593
100	7500	22920
100	7250	22821
100	7000	23025
100	6750	23260
100	6500	23815
100	6250	24023
100	6000	24354
100	5750	24634
100	5500	25013
100	5250	25448
100	5000	26223
100	4750	27066
100	4500	27334
100	4250	27332
100	4000	28212
100	3750	28348
100	3500	28923
100	3250	29227
100	3000	29493
100	2750	30168
100	2500	30563
100	2250	31141
100	2000	31264
100	1750	31407
100	1500	31998
100	1250	31430
100	1000	31593
100	750	31779
100	500	30785
100	250	28590
100	100	23038
100	75	22668
100	50	21938
100	25	20569
100	10000	19773
100	9750	20001
100	9500	20107
100	9250	20143
100	9000	20430
100	8750	20741
100	8500	20973
100	8250	21437
100	8000	21660
100	7750	21978
100	7500	22325
100	7250	22439
100	7000	22651
100	6750	22905
100	6500	23127
100	6250	23656
100	6000	24243
100	5750	24735
100	5500	25516
100	5250	26413
100	5000	27025
100	4750	27545
100	4500	27465
100	4250	27896
100	4000	28411
100	3750	29214
100	3500	29246
100	3250	29458
100	3000	30350
100	2750	30343
100	2500	30054
100	2250	29537
100	2000	29877
100	1750	30933
100	1500	31122
100	1250	30730
100	1000	31037
100	750	31609
100	500	30886
100	250	26345
100	100	24572
100	75	23746
100	50	20827
100	25	17634
100	10000	19901
100	9750	20148
100	9500	20285
100	9250	20726
100	9000	21015
100	8750	21276
100	8500	21533
100	8250	22033
100	8000	22250
100	7750	22502
100	7500	22717
100	7250	23289
100	7000	23490
100	6750	23826
100	6500	24374
100	6250	24733
100	6000	25505
100	5750	25916
100	5500	26337
100	5250	26423
100	5000	26861
100	4750	27079
100	4500	27576
100	4250	27252
100	4000	27660
100	3750	28221
