threshold	alignment_size	SNPs
90	8500	4651819
90	8250	4651871
90	8000	4651779
90	7750	4651783
90	7500	4651756
90	7250	4651691
90	7000	4651676
90	6750	4651662
90	6500	4651665
90	6250	4651645
90	6000	4651636
90	5750	4651708
90	5500	4651786
90	5250	4651823
90	5000	4651719
90	4750	4651588
90	4500	4651628
90	4250	4651763
90	4000	4651764
90	3750	4651726
90	3500	4651721
90	3250	4651787
90	3000	4651774
90	2750	4651825
90	2500	4651916
90	2250	4652189
90	2000	4652232
90	1750	4651923
90	1500	4651918
90	1250	4651876
90	1000	4652024
90	750	4651789
90	500	4652478
90	250	4650736
90	100	4651963
90	75	4651214
90	50	4652663
90	25	4652916
90	10000	4651758
90	9750	4651741
90	9500	4651837
90	9250	4651852
90	9000	4651832
90	8750	4651831
90	8500	4651863
90	8250	4651873
90	8000	4651855
90	7750	4651815
90	7500	4651938
90	7250	4651951
90	7000	4651888
90	6750	4651825
90	6500	4651798
90	6250	4651744
90	6000	4651786
90	5750	4651837
90	5500	4651756
90	5250	4651730
90	5000	4651687
90	4750	4651663
90	4500	4651728
90	4250	4651751
90	4000	4651999
90	3750	4652087
90	3500	4652079
90	3250	4652089
90	3000	4652041
90	2750	4652132
90	2500	4652263
90	2250	4652220
90	2000	4651996
90	1750	4652350
90	1500	4652012
90	1250	4651906
90	1000	4651394
90	750	4651133
90	500	4650767
90	250	4650566
90	100	4651959
90	75	4651246
90	50	4649854
90	25	4645845
90	10000	4651764
90	9750	4651767
90	9500	4651767
90	9250	4651776
90	9000	4651841
90	8750	4651850
90	8500	4651851
90	8250	4651896
90	8000	4651864
90	7750	4651890
90	7500	4651882
90	7250	4651819
90	7000	4651907
90	6750	4651879
90	6500	4651969
90	6250	4651926
90	6000	4651959
90	5750	4651991
90	5500	4651914
90	5250	4651941
90	5000	4651833
90	4750	4651887
90	4500	4651936
90	4250	4651738
90	4000	4651657
90	3750	4651665
90	3500	4651705
90	3250	4651651
90	3000	4651476
90	2750	4651718
90	2500	4651739
90	2250	4651402
90	2000	4651448
90	1750	4651252
90	1500	4651037
90	1250	4650752
90	1000	4650898
90	750	4650946
90	500	4650799
90	250	4651582
90	100	4652829
90	75	4652355
90	50	4652958
90	25	4650596
100	10000	627378
100	9750	641857
100	9500	658308
100	9250	678020
100	9000	705971
100	8750	735412
100	8500	762271
100	8250	788887
100	8000	846085
100	7750	880863
100	7500	909234
100	7250	939817
100	7000	988616
100	6750	1023696
100	6500	1049765
100	6250	1125005
100	6000	1162758
100	5750	1194077
100	5500	1231493
100	5250	1258194
100	5000	1286723
100	4750	1314769
100	4500	1366718
100	4250	1458910
100	4000	1513319
100	3750	1557714
100	3500	1638985
100	3250	1718904
100	3000	1805200
100	2750	1892080
100	2500	1945090
100	2250	2045124
100	2000	2129241
100	1750	2369970
100	1500	2472608
100	1250	2580850
100	1000	2764033
100	750	2923459
100	500	3431067
100	250	3968913
100	100	4129861
100	75	4144459
100	50	4279572
100	25	4357252
100	10000	621802
100	9750	645619
100	9500	661101
100	9250	676105
100	9000	697515
100	8750	725084
100	8500	759996
100	8250	782152
100	8000	832594
100	7750	869573
100	7500	886701
100	7250	917862
100	7000	934210
100	6750	950263
100	6500	981582
100	6250	1023669
100	6000	1074438
100	5750	1126132
100	5500	1214999
100	5250	1280383
100	5000	1310492
100	4750	1373692
100	4500	1441584
100	4250	1485814
100	4000	1553485
100	3750	1630623
100	3500	1741932
100	3250	1846204
100	3000	1986096
100	2750	2159696
100	2500	2246871
100	2250	2343698
100	2000	2447922
100	1750	2555139
100	1500	2674505
100	1250	2868373
100	1000	3035877
100	750	3237520
100	500	3429841
100	250	3694624
100	100	4117149
100	75	4145685
100	50	4174752
100	25	4236327
100	10000	646045
100	9750	662625
100	9500	675568
100	9250	699369
100	9000	714152
100	8750	732684
100	8500	756051
100	8250	767248
100	8000	789252
100	7750	807122
100	7500	831236
100	7250	854889
100	7000	886432
100	6750	904256
100	6500	919821
100	6250	957376
100	6000	981282
100	5750	1013206
100	5500	1055897
100	5250	1091973
100	5000	1122507
100	4750	1179866
100	4500	1224575
100	4250	1266620
100	4000	1310715
100	3750	1348534
100	3500	1391011
100	3250	1416213
100	3000	1478696
100	2750	1546093
100	2500	1768447
100	2250	1896789
100	2000	2003141
100	1750	2141012
100	1500	2333651
100	1250	2535530
100	1000	2787653
100	750	2917386
100	500	3179628
100	250	3432888
100	100	3945438
100	75	3980417
100	50	4204972
100	25	4365025
100	10000	619746
100	9750	632608
100	9500	654450
100	9250	668792
100	9000	701133
100	8750	725857
100	8500	752878
100	8250	790143
100	8000	812365
100	7750	847764
100	7500	896292
100	7250	931455
100	7000	958234
100	6750	991619
100	6500	1019552
100	6250	1053340
100	6000	1124310
100	5750	1180013
100	5500	1232543
100	5250	1258500
100	5000	1327235
100	4750	1369358
100	4500	1418060
100	4250	1460689
100	4000	1543150
100	3750	1625785
100	3500	1688465
100	3250	1776267
100	3000	1861593
100	2750	1930433
100	2500	2018256
100	2250	2111910
100	2000	2211066
100	1750	2344173
100	1500	2501077
100	1250	2655945
100	1000	2914922
100	750	3111974
100	500	3385862
100	250	4018467
100	100	4276115
100	75	4297123
100	50	4366125
100	25	4419793
100	10000	633534
100	9750	646883
100	9500	675519
100	9250	689745
100	9000	708545
100	8750	728269
100	8500	753798
100	8250	775285
100	8000	798749
100	7750	818627
100	7500	867199
100	7250	891052
100	7000	925475
100	6750	958335
100	6500	996788
100	6250	1014480
100	6000	1055119
100	5750	1122932
100	5500	1157496
100	5250	1234099
100	5000	1261502
100	4750	1307137
100	4500	1344845
100	4250	1377500
100	4000	1454887
100	3750	1541909
100	3500	1668917
100	3250	1747456
100	3000	1809219
100	2750	1945040
100	2500	2037318
100	2250	2114811
100	2000	2206237
100	1750	2406246
100	1500	2576620
100	1250	2655691
100	1000	2773182
100	750	3079232
100	500	3337183
100	250	3605253
100	100	3863592
100	75	3947789
100	50	4305856
100	25	4352179
100	10000	644499
100	9750	675092
100	9500	691672
100	9250	715647
100	9000	723133
100	8750	740106
100	8500	769663
100	8250	794917
100	8000	826699
100	7750	850461
100	7500	892787
100	7250	928376
100	7000	953334
100	6750	999902
100	6500	1052001
100	6250	1091127
100	6000	1168605
100	5750	1210901
100	5500	1256648
100	5250	1346728
100	5000	1379403
100	4750	1410569
100	4500	1520857
100	4250	1575254
100	4000	1616138
100	3750	1686878
100	3500	1742598
100	3250	1793032
100	3000	1918148
100	2750	2024343
100	2500	2183694
100	2250	2278150
100	2000	2373773
100	1750	2615571
100	1500	2681198
100	1250	2966678
100	1000	3180464
100	750	3331400
100	500	3630531
100	250	3792511
100	100	3971996
100	75	4004887
100	50	4019063
100	25	4047683
100	10000	633627
100	9750	655843
100	9500	670975
100	9250	694812
100	9000	708140
100	8750	722886
100	8500	743010
100	8250	789042
100	8000	817225
100	7750	836406
100	7500	857189
100	7250	882860
100	7000	930673
100	6750	964485
100	6500	1010819
100	6250	1056431
100	6000	1083323
100	5750	1133501
100	5500	1183072
100	5250	1274887
100	5000	1312803
100	4750	1363512
100	4500	1395435
100	4250	1431354
100	4000	1456933
100	3750	1490264
100	3500	1562729
100	3250	1615828
100	3000	1728119
100	2750	1896389
100	2500	1987791
100	2250	2062042
100	2000	2129164
100	1750	2295225
100	1500	2441773
100	1250	2633331
100	1000	2771721
100	750	2851915
100	500	3138287
100	250	3554947
100	100	4040083
100	75	4121494
100	50	4356905
100	25	4560169
100	10000	636771
100	9750	673809
100	9500	702015
100	9250	717126
100	9000	737935
100	8750	764551
100	8500	790959
100	8250	809514
100	8000	842030
100	7750	880554
100	7500	895273
100	7250	917651
100	7000	932637
100	6750	965677
100	6500	1005433
100	6250	1022086
100	6000	1040674
100	5750	1109102
100	5500	1155598
100	5250	1196213
100	5000	1259492
100	4750	1315488
100	4500	1361875
100	4250	1449536
100	4000	1553612
100	3750	1593138
100	3500	1670586
100	3250	1766437
100	3000	1822133
100	2750	1983229
100	2500	2025992
100	2250	2129302
100	2000	2264773
100	1750	2409215
100	1500	2564656
100	1250	2715283
100	1000	2857950
100	750	3020810
100	500	3421323
100	250	3718285
100	100	4055202
100	75	4133353
100	50	4422932
100	25	4591212
100	10000	644504
100	9750	662905
100	9500	680277
100	9250	698145
100	9000	730567
100	8750	762435
100	8500	786577
100	8250	817027
100	8000	848345
100	7750	871302
100	7500	906281
100	7250	935915
100	7000	968226
100	6750	991812
100	6500	1032369
100	6250	1058412
100	6000	1082997
100	5750	1119106
100	5500	1154179
100	5250	1193295
100	5000	1236772
100	4750	1316276
100	4500	1378790
100	4250	1444140
100	4000	1562662
100	3750	1632365
100	3500	1736255
100	3250	1768504
100	3000	1855898
100	2750	1896161
100	2500	2013262
100	2250	2093002
100	2000	2219233
100	1750	2346005
100	1500	2508354
100	1250	2682500
100	1000	2794859
100	750	3017402
100	500	3296566
100	250	3700214
100	100	4089116
100	75	4350263
100	50	4434343
100	25	4492091
100	10000	629244
100	9750	644061
100	9500	666356
100	9250	682892
100	9000	708143
100	8750	724587
100	8500	755637
100	8250	772781
100	8000	796537
100	7750	825015
100	7500	839565
100	7250	857871
100	7000	894555
100	6750	935635
100	6500	1004137
100	6250	1035034
100	6000	1085507
100	5750	1129956
100	5500	1176084
100	5250	1216484
100	5000	1261640
100	4750	1349450
100	4500	1380528
100	4250	1421966
100	4000	1455585
100	3750	1535464
100	3500	1615468
100	3250	1658497
100	3000	1712708
100	2750	1772251
100	2500	1850964
100	2250	1945624
100	2000	2110320
100	1750	2194293
100	1500	2384098
100	1250	2530124
100	1000	2716764
100	750	3138113
100	500	3408141
100	250	3810310
100	100	4150890
100	75	4188334
100	50	4207780
100	25	4465608
95	10000	4635068
95	9750	4635063
95	9500	4635116
95	9250	4634735
95	9000	4634843
95	8750	4635358
95	8500	4635573
95	8250	4635485
95	8000	4635595
95	7750	4635482
95	7500	4635730
95	7250	4635689
95	7000	4635509
95	6750	4635544
95	6500	4635526
95	6250	4636093
95	6000	4636087
95	5750	4636276
95	5500	4636756
95	5250	4636636
95	5000	4636729
95	4750	4636698
95	4500	4636454
95	4250	4636684
95	4000	4636627
95	3750	4636997
95	3500	4637714
95	3250	4637839
95	3000	4638002
95	2750	4637675
95	2500	4638059
95	2250	4637693
95	2000	4637544
95	1750	4637437
95	1500	4637486
95	1250	4637576
95	1000	4637892
95	750	4634958
95	500	4639175
95	250	4640966
95	100	4635678
95	75	4623837
95	50	4626177
95	25	4616987
95	10000	4634840
95	9750	4634729
95	9500	4634596
95	9250	4634455
95	9000	4634686
95	8750	4634568
95	8500	4634667
95	8250	4634685
95	8000	4634956
95	7750	4634804
95	7500	4634545
95	7250	4634344
95	7000	4634043
95	6750	4633754
95	6500	4634082
95	6250	4633939
95	6000	4634217
95	5750	4634004
95	5500	4633790
95	5250	4634297
95	5000	4634394
95	4750	4634336
95	4500	4634100
95	4250	4633696
95	4000	4633315
95	3750	4632760
95	3500	4633030
95	3250	4632594
95	3000	4631864
95	2750	4632634
95	2500	4632889
95	2250	4632935
95	2000	4633791
95	1750	4633392
95	1500	4631963
95	1250	4632741
95	1000	4634080
95	750	4633683
95	500	4633141
95	250	4623643
95	100	4626272
95	75	4601987
95	50	4609309
95	25	4576655
95	10000	4635061
95	9750	4635119
95	9500	4635030
95	9250	4634967
95	9000	4634893
95	8750	4634831
95	8500	4635101
95	8250	4634814
95	8000	4634997
95	7750	4634920
95	7500	4635012
95	7250	4635057
95	7000	4635213
95	6750	4635083
95	6500	4635071
95	6250	4635134
95	6000	4635101
95	5750	4634804
95	5500	4634882
95	5250	4634553
95	5000	4633743
95	4750	4633724
95	4500	4633753
95	4250	4633884
95	4000	4634666
95	3750	4633649
95	3500	4633496
95	3250	4633046
95	3000	4633040
95	2750	4633430
95	2500	4634033
95	2250	4633027
95	2000	4632181
95	1750	4631363
95	1500	4630628
95	1250	4628763
95	1000	4614119
95	750	4617143
95	500	4620777
95	250	4606376
95	100	4600708
95	75	4567881
95	50	4601768
95	25	4573734
95	10000	4634858
95	9750	4634764
95	9500	4634811
95	9250	4634713
95	9000	4634777
95	8750	4635023
95	8500	4635038
95	8250	4635096
95	8000	4635543
95	7750	4635523
95	7500	4635775
95	7250	4635793
95	7000	4635650
95	6750	4635280
95	6500	4635145
95	6250	4635106
95	6000	4635109
95	5750	4634868
95	5500	4634964
95	5250	4635090
95	5000	4635242
95	4750	4635899
95	4500	4635643
95	4250	4635427
95	4000	4635604
95	3750	4635749
95	3500	4635667
95	3250	4635907
95	3000	4636530
95	2750	4635883
95	2500	4635922
95	2250	4636037
95	2000	4636399
95	1750	4636420
95	1500	4636483
95	1250	4636241
95	1000	4635937
95	750	4633188
95	500	4631917
95	250	4635021
95	100	4633308
95	75	4629002
95	50	4635210
95	25	4630122
95	10000	4634815
95	9750	4634656
95	9500	4634741
95	9250	4634755
95	9000	4634687
95	8750	4634594
95	8500	4634800
95	8250	4634832
95	8000	4634631
95	7750	4634640
95	7500	4634603
95	7250	4634507
95	7000	4634539
95	6750	4634646
95	6500	4634745
95	6250	4634781
95	6000	4634937
95	5750	4635425
95	5500	4635386
95	5250	4635618
95	5000	4635524
95	4750	4635431
95	4500	4635284
95	4250	4634848
95	4000	4635185
95	3750	4635621
95	3500	4635170
95	3250	4635521
95	3000	4635929
95	2750	4636096
95	2500	4635743
95	2250	4634894
95	2000	4635570
95	1750	4633949
95	1500	4633756
95	1250	4631476
95	1000	4627036
95	750	4631278
95	500	4637234
95	250	4632464
95	100	4620163
95	75	4597644
95	50	4618814
95	25	4601830
