threshold	alignment_size	SNPs
90	9250	62575
90	9000	61899
90	8750	60749
90	8500	59777
90	8250	58841
90	8000	57384
90	7750	56463
90	7500	55444
90	7250	54439
90	7000	52938
90	6750	51805
90	6500	50811
90	6250	49847
90	6000	48935
90	5750	47680
90	5500	46491
90	5250	45526
90	5000	44481
90	4750	43058
90	4500	42063
90	4250	40827
90	4000	39051
90	3750	37220
90	3500	35565
90	3250	34450
90	3000	33282
90	2750	31834
90	2500	29754
90	2250	28218
90	2000	26239
90	1750	24549
90	1500	22662
90	1250	20812
90	1000	17943
90	750	15499
90	500	12908
90	250	7799
90	100	4669
90	75	3422
90	50	2785
90	25	1494
90	10000	64778
90	9750	63982
90	9500	62793
90	9250	61641
90	9000	60470
90	8750	59477
90	8500	58902
90	8250	57826
90	8000	56987
90	7750	56140
90	7500	55142
90	7250	54095
90	7000	52873
90	6750	51851
90	6500	50684
90	6250	49075
90	6000	48122
90	5750	46972
90	5500	45950
90	5250	44087
90	5000	42762
90	4750	41140
90	4500	39794
90	4250	38687
90	4000	37050
90	3750	35550
90	3500	34260
90	3250	32826
90	3000	31342
90	2750	29766
90	2500	28232
90	2250	26796
90	2000	25240
90	1750	23047
90	1500	21202
90	1250	19044
90	1000	16413
90	750	13675
90	500	11619
90	250	7615
90	100	4662
90	75	3637
90	50	3081
90	25	1441
100	10000	6342
100	9750	6430
100	9500	6541
100	9250	6702
100	9000	6906
100	8750	7104
100	8500	7351
100	8250	7613
100	8000	8129
100	7750	8216
100	7500	8304
100	7250	8448
100	7000	8686
100	6750	8846
100	6500	9005
100	6250	9379
100	6000	9594
100	5750	9676
100	5500	9691
100	5250	9660
100	5000	9557
100	4750	9542
100	4500	9616
100	4250	10035
100	4000	10063
100	3750	10057
100	3500	10127
100	3250	10372
100	3000	10407
100	2750	10326
100	2500	10064
100	2250	10058
100	2000	9851
100	1750	10082
100	1500	9521
100	1250	9110
100	1000	8632
100	750	7635
100	500	6979
100	250	5113
